11	5	18	771.91
12	5	16	707.24
13	5	2	162.79
14	5	21	402.34
15	5	28	502.62
16	6	28	396.44
17	6	11	739.3
18	6	1	350.58
19	6	14	565.7
20	7	3	81.95
21	7	17	60.44
22	7	11	37.62
23	7	14	127.85
24	8	14	517.03
25	8	26	205.9
26	8	5	31.44
27	8	11	677.76
30	10	23	810.74
31	10	7	725.16
32	10	30	153.04
33	10	27	42.7
34	10	6	713.36
35	11	15	259.41
36	11	23	349.22
37	11	30	230.97
38	11	26	298.11
39	11	29	138.11
41	13	14	59.22
42	13	19	961.51
43	13	25	73.28
44	13	1	21.76
45	13	29	635.66
47	15	15	314.1
48	15	11	177.85
49	15	1	171.43
50	15	3	84.67
51	16	17	152.36
52	16	29	291.2
53	16	1	188.93
54	16	18	27.07
55	17	11	426.28
56	17	7	127.6
57	17	25	151.2
58	17	14	353.22
65	20	26	236.21
66	20	5	215.91
67	20	24	368.61
68	20	11	36.68
69	20	1	406.11
70	21	11	27.2
71	21	14	118.82
72	21	2	82.27
73	21	15	462.61
74	21	9	153.25
80	24	4	311.01
81	24	22	891.76
82	24	26	44.59
83	24	30	386.76
84	24	12	335.42
85	25	24	208.85
86	25	11	16.09
87	25	27	232.6
88	25	9	31.39
89	26	13	2.32
90	26	7	98.8
91	26	23	453.85
92	26	30	47.44
93	27	25	57.17
94	27	13	149.99
95	27	2	58.62
96	27	30	102.24
97	27	10	12.74
101	29	2	204.56
102	29	12	441.01
103	29	18	79.35
104	29	11	24.17
107	31	11	888.03
108	31	15	228.34
109	31	3	179.84
110	31	29	624.98
114	33	27	64.71
115	33	19	423.14
116	33	18	195.97
117	33	15	114.91
118	34	18	94.09
119	34	21	64.11
120	34	22	592.01
121	34	8	612.11
122	35	29	1069.18
123	35	18	107.02
124	35	20	182.59
125	35	15	206.94
126	35	12	42.72
136	41	13	37.69
137	41	2	0.87
138	41	5	541.32
139	41	22	3.93
142	44	2	540.94
143	44	25	34.43
144	44	8	113.5
145	44	3	195.75
146	44	21	64.78
168	55	4	481.37
169	55	22	254.37
170	55	26	56.15
171	55	21	184.06
176	58	7	459.53
177	58	24	165.08
178	58	8	123.76
179	58	10	374.13
180	59	29	468.12
181	59	26	188.47
182	59	17	603.15
183	59	2	123.81
197	66	7	381.98
198	66	9	379.72
199	66	12	349.76
200	66	3	360.12
205	70	20	401.49
206	70	18	753.89
207	70	4	57.59
208	70	23	493.78
209	70	28	228.76
218	74	12	89.39
219	74	21	197.54
220	74	11	133.24
221	74	27	293.56
222	74	8	0.0
223	75	4	340.32
224	75	27	268.17
225	75	20	582.81
226	75	6	302.94
227	75	25	117.59
228	76	15	138.8
229	76	14	336.02
230	76	7	436.36
231	76	10	689.83
240	81	14	6.77
241	81	8	380.65
242	81	15	471.45
243	81	19	169.54
244	81	21	56.76
245	82	23	140.6
246	82	12	28.2
247	82	26	265.1
248	82	19	132.39
251	84	28	102.04
252	84	24	41.45
253	84	20	264.49
254	84	15	37.95
255	85	21	74.43
256	85	26	286.83
257	85	27	158.31
258	85	13	133.97
267	90	26	24.18
268	90	29	534.22
269	90	3	55.63
270	90	25	103.05
271	90	21	151.47
275	92	21	153.04
276	92	10	575.97
277	92	6	367.22
278	92	11	24.58
279	92	29	129.81
280	93	11	98.8
281	93	1	193.59
282	93	7	329.8
283	93	20	459.39
285	95	10	437.69
286	95	15	287.51
287	95	6	106.4
288	95	11	7.99
291	97	25	255.98
292	97	22	74.74
293	97	1	325.43
294	97	2	222.94
295	98	19	262.34
296	98	8	55.04
297	98	11	86.33
298	98	29	246.45
299	98	21	574.76
300	99	14	85.32
301	99	7	47.01
302	99	4	122.66
303	99	27	316.26
304	99	9	748.19
308	102	13	79.8
309	102	4	311.77
310	102	24	234.93
311	102	3	126.3
312	103	29	201.46
313	103	22	72.06
314	103	1	75.11
315	103	11	23.62
316	103	17	128.28
322	107	14	309.87
323	107	2	261.4
324	107	19	835.72
325	107	29	163.78
332	111	2	64.4
333	111	8	292.0
334	111	19	313.8
335	111	27	120.85
336	111	12	536.44
341	114	12	589.98
342	114	29	100.66
343	114	18	49.65
344	114	10	158.16
345	114	17	106.05
352	117	15	657.4
353	117	23	322.36
354	117	6	908.02
355	117	4	640.54
356	117	21	224.25
357	118	23	25.42
358	118	13	518.98
359	118	17	399.81
360	118	11	561.84
361	118	18	329.0
362	119	11	118.84
363	119	2	273.02
364	119	9	166.05
365	119	27	38.52
366	119	10	0.36
374	123	26	267.74
375	123	17	82.88
376	123	24	238.34
377	123	3	650.14
380	126	4	987.68
381	126	8	466.36
382	126	16	147.18
383	126	27	582.73
384	127	3	538.36
385	127	30	202.52
386	127	9	89.35
387	127	19	424.72
388	127	24	322.1
393	130	6	870.84
394	130	7	302.23
395	130	4	321.62
396	130	28	14.72
397	130	11	244.4
400	132	11	13.72
401	132	14	45.87
402	132	30	124.27
403	132	7	19.42
408	135	6	350.58
409	135	25	456.46
410	135	21	219.39
411	135	1	255.47
412	136	27	116.02
413	136	6	280.06
414	136	29	736.03
415	136	9	448.81
418	138	16	26.65
419	138	30	105.25
420	138	13	42.44
421	138	3	750.84
429	143	3	45.36
430	143	5	277.87
431	143	30	81.75
432	143	26	29.91
440	147	23	408.8
441	147	27	330.99
442	147	8	712.59
443	147	4	213.49
444	147	21	78.91
445	148	3	450.05
446	148	28	235.89
447	148	16	449.34
448	148	27	293.89
451	150	26	783.53
452	150	30	499.51
453	150	23	502.93
454	150	18	499.1
461	154	12	772.19
462	154	22	96.22
463	154	8	664.76
464	154	28	313.51
465	154	20	400.92
484	165	6	71.77
485	165	1	14.85
486	165	8	896.26
487	165	24	164.44
493	168	13	161.24
494	168	25	59.1
495	168	10	240.22
496	168	29	168.26
497	168	6	357.56
498	169	15	254.33
499	169	28	481.9
500	169	1	234.11
501	169	14	383.24
508	172	13	543.35
509	172	21	403.55
510	172	20	58.55
511	172	29	100.46
512	173	8	208.97
513	173	19	21.97
514	173	14	250.94
515	173	30	266.73
517	175	16	13.06
518	175	19	115.72
519	175	8	477.54
520	175	24	33.75
522	177	18	6.84
523	177	15	69.63
524	177	17	185.4
525	177	26	386.32
526	177	5	41.17
530	180	14	79.28
531	180	19	456.38
532	180	22	217.25
533	180	11	14.31
534	180	30	383.55
537	182	21	303.22
538	182	18	131.97
539	182	13	0.79
540	182	3	13.63
541	182	20	368.28
542	183	17	10.35
543	183	23	109.04
544	183	15	156.88
545	183	22	145.57
550	186	14	174.08
551	186	13	28.0
552	186	21	16.39
553	186	19	41.07
554	186	23	94.96
557	188	12	434.99
558	188	1	79.37
559	188	2	637.57
560	188	28	89.0
567	191	19	330.6
568	191	23	140.3
